#Coor	Free	Prob
0.339781	9.768142	5.787171
0.379110	3.262647	79.832585
0.418440	1.036140	195.996147
0.457769	0.000000	297.694914
0.497099	3.285717	79.093067
0.536428	8.077297	11.446950
0.575758	12.351020	2.041576
0.615087	14.486723	0.862594
0.654416	15.901441	0.487482
0.693746	17.099336	0.300674
0.733075	18.192645	0.193445
0.772405	19.568105	0.111067
0.811734	20.918781	0.064411
0.851064	21.627527	0.048394
0.890393	21.901794	0.043325
0.929723	21.938591	0.042687
0.969052	22.074816	0.040404
1.008382	22.483765	0.034260
1.047711	22.724504	0.031089
1.087041	22.885921	0.029129
1.126370	22.891525	0.029064
1.165700	22.884541	0.029146
1.205029	22.882770	0.029166
1.244358	22.902531	0.028935
1.283688	22.953604	0.028345
1.323017	23.013603	0.027667
1.362347	23.016519	0.027634
1.401676	23.035510	0.027424
1.441006	23.063291	0.027118
1.480335	23.100374	0.026715
#Window	Free
#0	0.000000
#1	-5.535825
#2	-8.543323
#3	-9.483254
#4	-7.887785
#5	-3.840891
#6	1.304825
#7	4.812654
#8	6.633661
#9	8.170935
#10	8.611116
#11	9.856215
#12	10.511452
#13	10.812790
#14	11.102278
#15	11.393246
#16	11.568223
#17	11.624552
#18	11.640411
#19	11.669050
#20	11.714457
#21	11.756336
#22	11.831274
#23	12.213168
#24	13.543340
