0_300:	0.370562 +- 0.000120
0_350:	0.389348 +- 0.000150
0_400:	0.422743 +- 0.000170
0_450:	0.448151 +- 0.000160
0_500:	0.470203 +- 0.000167
0_550:	0.498270 +- 0.000199
0_600:	0.548759 +- 0.000266
0_650:	0.627097 +- 0.000256
0_700:	0.683520 +- 0.000236
0_750:	0.732403 +- 0.000224
0_800:	0.771338 +- 0.000338
0_850:	0.827612 +- 0.000372
0_900:	0.890663 +- 0.000346
0_950:	0.943344 +- 0.000321
1_000:	0.992685 +- 0.000325
1_050:	1.044701 +- 0.000334
1_100:	1.095808 +- 0.000334
1_150:	1.147843 +- 0.000328
1_200:	1.199297 +- 0.000321
1_250:	1.248514 +- 0.000322
1_300:	1.298383 +- 0.000327
1_350:	1.349337 +- 0.000329
1_400:	1.398759 +- 0.000322
1_450:	1.449235 +- 0.000323
1_500:	1.500368 +- 0.000324
